#Items
#Id,Name,Mesh

[Amulets]
1,amulet of change,amulet.mesh
2,amulet of ESP,amulet.mesh
3,amulet of life saving,amulet.mesh
4,amulet of magical breathing,amulet.mesh
5,amulet of reflection,amulet.mesh
6,amulet of restful sleep,amulet.mesh
7,amulet of strangulation,amulet.mesh
8,amulet of unchanging,amulet.mesh
9,amulet versus poison,amulet.mesh
10,imitation amulet of Yendor,amulet.mesh
11,Amulet of Yendor,amulet.mesh

[Daggers] 	 
12,orcish dagger,dagger.mesh
13,dagger,dagger.mesh
14,silver dagger,dagger.mesh
15,athame,dagger.mesh
16,elven dagger,dagger.mesh

[Knives]
17,worm tooth,knife.mesh
18,knife,knife.mesh
19,stiletto,knife.mesh
20,scalpel,knife.mesh
21,crysknife,knife.mesh

[Axes]
22,axe,axe.mesh
23,battle-axe,axe.mesh

[Picks]
24,pick-axe,pick.mesh
25,dwarvish mattock,pick.mesh

[Short Swords]
26,orcish short sword,sword.mesh
27,short sword,sword.mesh
28,dwarvish short sword,sword.mesh
29,elven short sword,sword.mesh

[Broadswords]
30,broadsword,sword.mesh
31,runesword,sword.mesh
32,elven broadsword,sword.mesh

[Long Swords]
33,long sword,sword.mesh
34,katana,sword.mesh

[Two-handed Swords]
35,two-handed sword,sword.mesh
36,tsurugi,sword.mesh
37,scimitar,sword.mesh

[Quarterstaffs]
46,quarterstaff,staff.mesh

[Bows]
67,orcish bow,bow.mesh
68,bow,bow.mesh
69,elven bow,bow.mesh
70,yumi,bow.mesh

[Arrows]
71,orcish arrow,arrow.mesh
72,arrow,arrow.mesh
73,silver arrow,arrow.mesh
74,elven arrow,arrow.mesh
75,ya,arrow.mesh

[Unicorn Horn]
85,unicorn horn,horn.mesh

[Shirts]
86,Hawaiian shirt,shirt.mesh
87,T-shirt,shirt.mesh

[Suits]
88,leather jacket,armour.mesh
89,leather armor,armour.mesh
90,orcish ring mail,armour.mesh
91,crude ring mail,armour.mesh
92,studded leather armor,armour.mesh
93,ring mail,armour.mesh
94,scale mail,armour.mesh
95,orcish chain mail,armour.mesh
96,crude chain mail,armour.mesh
97,chain mail,armour.mesh
98,elven mithril coat,armour.mesh
99,splint mail,armour.mesh
100,banded mail,armour.mesh
101,dwarvish mithril coat,armour.mesh
102,bronze plate mail,armour.mesh
103,plate mail,armour.mesh
104,crystal plate mail,armour.mesh

[Dragon Scales]
105,red dragon scales,scales.mesh
106,white dragon scales,scales.mesh
107,orange dragon scales,scales.mesh
108,blue dragon scales,scales.mesh
109,green dragon scales,scales.mesh
110,yellow dragon scales,scales.mesh
111,black dragon scales,scales.mesh
112,silver dragon scales,scales.mesh
113,gray dragon scales,scales.mesh

[Dragon Suits]
114,red dragon scale mail,armour.mesh
115,white dragon scale mail,armour.mesh
116,orange dragon scale mail,armour.mesh
117,blue dragon scale mail,armour.mesh
118,green dragon scale mail,armour.mesh
119,yellow dragon scale mail,armour.mesh
120,black dragon scale mail,armour.mesh
121,silver dragon scale mail,armour.mesh
122,gray dragon scale mail,armour.mesh

[Cloaks]
123,mummy wrapping,cloak.mesh
124,orcish cloak,cloak.mesh
125,coarse mantelet,cloak.mesh
126,dwarvish cloak,cloak.mesh
127,hooded cloak,cloak.mesh
128,leather cloak,cloak.mesh
129,cloak of displacement,cloak.mesh
130,piece of cloth,cloak.mesh
131,oilskin cloak,cloak.mesh
132,slippery cloak,cloak.mesh
133,alchemy smock,cloak.mesh
134,apron,cloak.mesh
135,cloak of invisibility,cloak.mesh
136,opera cloak,cloak.mesh
137,cloak of magic resistance,cloak.mesh
138,ornamental cope,cloak.mesh
139,elven cloak,cloak.mesh
140,faded pall,cloak.mesh
141,robe,cloak.mesh
142,cloak of protection,cloak.mesh
143,tattered cape,cloak.mesh

[Helmets]
144,fedora,hat.mesh
145,dunce cap,hat.mesh
146,conical hat,hat.mesh
147,cornuthaum,hat.mesh
148,conical hat,hat.mesh
150,elven leather helm,helmet.mesh
151,leather hat,hat.mesh
152,helmet,helmet.mesh
153,plumed helmet,helmet.mesh
154,orcish helm,helmet.mesh
155,iron skull cap,helmet.mesh
156,helm of brilliance,helmet.mesh
157,etched helmet,helmet.mesh
158,helm of opposite alignment,helmet.mesh
159,crested helmet,helmet.mesh
160,helm of telepathy,helmet.mesh
161,visored helmet,helmet.mesh
162,dwarvish iron helm,helmet.mesh
163,hard hat,hat.mesh

[Gloves]
164,leather gloves,gloves.mesh
165,old gloves,gloves.mesh
166,gauntlets of dexterity,gloves.mesh
167,padded gloves,gloves.mesh
168,gauntlets of fumbling,gloves.mesh
169,riding gloves,gloves.mesh
170,gauntlets of power,gloves.mesh
171,fencing gloves,gloves.mesh

[Shields]
172,small shield,shield.mesh
173,orcish shield,shield.mesh
174,red-eyed shield,shield.mesh
175,Uruk-hai shield,shield.mesh
176,white-handed shield,shield.mesh
177,elven shield,shield.mesh
178,blue and green shield,shield.mesh
179,dwarvish roundshield,shield.mesh
180,large round shield,shield.mesh
181,large shield,shield.mesh
182,shield of reflection,shield.mesh
183,polished silver shield,shield.mesh

[Boots]
184,low boots,boots.mesh
185,walking shoes,boots.mesh
186,elven boots,boots.mesh
187,mud boots,boots.mesh
188,kicking boots,boots.mesh
189,buckled boots,boots.mesh
190,fumble boots,boots.mesh
191,riding boots,boots.mesh
192,levitation boots,boots.mesh
193,snow boots,boots.mesh
194,jumping boots,boots.mesh
195,hiking boots,boots.mesh
196,speed boots,boots.mesh
197,combat boots,boots.mesh
198,water walking boots,boots.mesh
199,jungle boots,boots.mesh
200,high boots,boots.mesh
201,jackboots,boots.mesh
202,iron shoes,boots.mesh
203,hard shoes,boots.mesh

[Food]
204,meatball
205,meat ring
206,meat stick
207,egg,egg.mesh
208,tripe ration
209,huge chunk of meat
210,corpse

[Fruits and Vegetables]
211,kelp frond
212,eucalyptus leaf
213,clove of garlic
214,sprig of wolfsbane
215,apple,apple.mesh
216,carrot.carrot.mesh
217,pear,pear.mesh
218,banana,banana.mesh
219,orange,orange.mesh
220,melon,melon.mesh
221,slime mold

[Human Food]
222,fortune cookie,cookie.mesh
223,candy bar
224,cream pie
225,lump of royal jelly,jelly.mesh
226,pancake,pancake.mesh
227,C-ration
228,K-ration
229,cram ration
230,food ration
231,lembas wafer
232,tin,tin.mesh

[Containers]
233,sack,sack.mesh
234,bag,bag.mesh
235,large box,box.mesh
236,chest,chest.mesh
237,ice box,box.mesh
238,bag of holding,bag.mesh
