#Monsters
#Id,Name,Difficulty,Frequency,Alignment_Strength,Size,Weight,Nutrition,Genocideable,Corpse%

[Insects]
1,giant ant,4,3,0,tiny,10,10,Yes,33
2,killer bee,5,2,0,tiny,1,5,Yes,33
3,soldier ant,6,2,0,tiny,20,5,Yes,33
4,fire ant,6,1,0,tiny,30,10,Yes,25
5,giant beetle,6,3,0,large,10,10,Yes,100
6,queen bee,12,X,0,tiny,1,5,Yes,25

[Blobs]
7,acid blob,2,2,0,tiny,30,10,Yes,33
8,quivering blob,6,2,0,small,200,100,Yes,50
9,gelatinous cube,8,2,0,large,600,150,Yes,100

[Trices]
10,chickatrice,7,1,0,tiny,10,10,Yes,25
11,cockatrice,8,5,0,small,30,30,Yes,50
12,pyrolisk,8,1,0,small,30,30,Yes,33

[Hounds]
13,jackal,1,3,0,small,300,250,Yes,50
14,fox,1,1,0,small,300,250,Yes,33
15,coyote,2,1,0,small,300,250,Yes,33
16,werejackal,4,X,-7,small,300,250,No,33#
17,little dog,3,1,0,small,150,150,Yes,33
18,dog,5,1,0,medium,400,200,Yes,33
19,large dog,7,1,0,medium,800,250,Yes,33
20,dingo,5,1,0,medium,400,200,Yes,33
21,wolf,6,2,0,medium,500,250,Yes,50
22,werewolf,7,X,-7,medium,500,250,No,33#
23,warg,8,2,-5,medium,850,350,Yes,50
24,winter wolf cub,7,2*,-5,small,250,200,Yes,50
25,winter wolf,9,1*,0,large,700,300,Yes,100
26,hell hound pup,9,1#,-5,small,200,200,Yes,33
27,hell hound,14,1#,0,medium,600,300,Yes,33

[Spheres]
28,gas spore,2,1,0,small,10,0,Yes,0
29,floating eye,3,5,0,small,10,10,Yes,50
30,freezing sphere,8,2*,0,small,10,0,Yes,0
31,flaming sphere,8,2,0,small,10,0,Yes,0
32,shocking sphere,8,2,0,small,10,0,Yes,0

[Cats]
33,kitten,3,1,0,small,150,150,Yes,33
34,housecat,5,1,0,small,200,200,Yes,33
35,jaguar,6,2,0,large,600,300,Yes,100
36,lynx,7,1,0,small,600,300,Yes,33
37,panther,7,1,0,large,600,300,Yes,100
38,large cat,7,1,0,small,250,250,Yes,33
39,tiger,8,2,0,large,600,300,Yes,100

[Gremlins and Gargoyles]
40,gremlin,8,2,-9,small,100,20,Yes,50
41,gargoyle,8,2,-9,medium,1000,200,Yes,50
42,winged gargoyle,11,1,12,medium,1200,300,Yes,33

[Dwarves]
43,hobbit,2,2,6,small,500,200,Yes,50
44,dwarf,4,3,4,medium,900,300,Yes,50
45,bugbear,5,1,-6,large,1250,250,Yes,100
46,dwarf lord,6,2,5,medium,900,300,Yes,50
47,dwarf king,8,1,6,medium,900,300,Yes,33
48,mind flayer,13,1,-8,medium,1450,400,Yes,33
49,master mind flayer,19,1,-8,medium,1450,400,Yes,33

[Imps]
50,manes,3,1,-7,small,100,0,Yes,0
51,homunculus,3,2,-7,tiny,60,100,Yes,33
52,imp,4,1,-7,tiny,20,10,Yes,25
53,lemure,5,1#,-7,medium,150,0,Yes,0
54,quasit,7,2,-7,small,200,200,Yes,50
55,tengu,7,3,7,small,300,200,Yes,50

[Jellies]
56,blue jelly,5,2,0,medium,50,20,Yes,50
57,spotted jelly,6,1,0,medium,50,20,Yes,33
58,ochre jelly,8,2,0,medium,50,20,Yes,50

[Kobolds]
59,kobold,1,1,-2,small,400,100,Yes,33
60,large kobold,2,1,-3,small,450,150,Yes,33
61,kobold lord,3,1,-4,small,500,200,Yes,33
62,kobold shaman,4,1,-4,small,450,150,Yes,33

[Leprechauns]
63,leprechaun,4,4,0,tiny,60,30,Yes,33

[Mimics]
64,small mimic,8,2,0,medium,300,200,Yes,50
65,large mimic,9,1,0,large,600,400,Yes,100
66,giant mimic,11,1,0,large,800,500,Yes,100

[Nymphs]
67,wood nymph,5,2,0,medium,600,300,Yes,50
68,water nymph,5,2,0,medium,600,300,Yes,50
69,mountain nymph,5,2,0,medium,600,300,Yes,50

[Goblins]
70,goblin,1,2,-3,small,400,100,Yes,50
71,hobgoblin,3,2,-4,medium,1000,200,Yes,50
72,orc,3,X,-3,medium,850,150,Yes,33
73,hill orc,4,2,-4,medium,1000,200,Yes,50
74,Mordor orc,5,1,-5,medium,1200,200,Yes,33
75,Uruk-hai,5,1,-4,medium,1300,300,Yes,33
76,orc shaman,5,1,-5,medium,1000,300,Yes,33
77,orc-captain,7,1,-5,medium,1350,350,Yes,33

[Piercers]
78,rock piercer,4,4,0,small,200,200,Yes,50
79,iron piercer,6,2,0,medium,400,300,Yes,50
80,glass piercer,9,1,0,medium,400,300,Yes,33

[Large Rodents]
81,rothe,4,4,0,large,400,100,Yes,100
82,mumak,7,1,-2,large,2500,500,Yes,100
